director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Matthew Vaughn,James McAvoy,Michael Fassbender,Rose Byrne,Action Science Fiction Adventure,x-men: first class,James McAvoy Michael Fassbender Rose Byrne Matthew Vaughn Action Science Fiction Adventure
Todd Phillips,Bradley Cooper,Ed Helms,Zach Galifianakis,Comedy,the hangover part ii,Bradley Cooper Ed Helms Zach Galifianakis Todd Phillips Comedy
"Deryck Broom, Roger Hawkins",Michael Madsen,Ernest Borgnine,Scott Eastwood,Adventure Animation Comedy Family,the lion of judah,"Michael Madsen Ernest Borgnine Scott Eastwood Deryck Broom, Roger Hawkins Adventure Animation Comedy Family"
John Schultz,Jordana Beatty,Heather Graham,Parris Mosteller,Comedy Family,judy moody and the not bummer summer,Jordana Beatty Heather Graham Parris Mosteller John Schultz Comedy Family
J. J. Abrams,Joel Courtney,Elle Fanning,Kyle Chandler,Thriller Science Fiction Mystery,super 8,Joel Courtney Elle Fanning Kyle Chandler J. J. Abrams Thriller Science Fiction Mystery
David Gelb,David Gelb (director),unknown,unknown,Documentary,jiro dreams of sushi,David Gelb (director) unknown unknown David Gelb Documentary
Raja Gosnell,Neil Patrick Harris,Jayma Mays,Sofía Vergara,Animation Family Adventure Comedy Fantasy,the smurfs,Neil Patrick Harris Jayma Mays Sofía Vergara Raja Gosnell Animation Family Adventure Comedy Fantasy
Jake Kasdan,Cameron Diaz,Justin Timberlake,Jason Segel,Comedy,bad teacher,Cameron Diaz Justin Timberlake Jason Segel Jake Kasdan Comedy
Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Adventure Action Thriller Science Fiction,green lantern,Ryan Reynolds Blake Lively Peter Sarsgaard Martin Campbell Adventure Action Thriller Science Fiction
Mark Waters,Jim Carrey,Carla Gugino,Angela Lansbury,Comedy Family,mr. popper's penguins,Jim Carrey Carla Gugino Angela Lansbury Mark Waters Comedy Family
"John Lasseter, Brad Lewis",Larry the Cable Guy,Owen Wilson,Michael Caine,Animation Family Adventure Comedy,cars 2,"Larry the Cable Guy Owen Wilson Michael Caine John Lasseter, Brad Lewis Animation Family Adventure Comedy"
Michael Bay,Shia LaBeouf,Josh Duhamel,John Turturro,Action Science Fiction Adventure,transformers: dark of the moon,Shia LaBeouf Josh Duhamel John Turturro Michael Bay Action Science Fiction Adventure
Chris Weitz,Chris Weitz (director); Demián Bichir,José Julián,unknown,Drama,a better life,Chris Weitz (director); Demián Bichir José Julián unknown Chris Weitz Drama
Shoaib Mansoor,Shoaib Mansoor (director); Manzar Sehbai,Shafqat Cheema,Humaima Malik,Comedy Action,bol,Shoaib Mansoor (director); Manzar Sehbai Shafqat Cheema Humaima Malik Shoaib Mansoor Comedy Action
Tom Hanks,Tom Hanks,Julia Roberts,Taraji P. Henson,Comedy Romance Drama,larry crowne,Tom Hanks Julia Roberts Taraji P. Henson Tom Hanks Comedy Romance Drama
Seth Gordon,Jason Bateman,Charlie Day,Jason Sudeikis,Comedy Crime,horrible bosses,Jason Bateman Charlie Day Jason Sudeikis Seth Gordon Comedy Crime
Tom Bezucha,Selena Gomez,Leighton Meester,Katie Cassidy,Adventure Comedy Romance,monte carlo,Selena Gomez Leighton Meester Katie Cassidy Tom Bezucha Adventure Comedy Romance
Martin Donovan,Martin Donovan,David Morse,Olivia Williams,Comedy Drama,collaborator,Martin Donovan David Morse Olivia Williams Martin Donovan Comedy Drama
Michael Tully,Michael Tully (director); Michael Tully,Onur Tukel,Robert Longstreet,Comedy Drama Mystery,septien,Michael Tully (director); Michael Tully Onur Tukel Robert Longstreet Michael Tully Comedy Drama Mystery
Lucas Belvaux,Lucas Belvaux (director); Yvan Attal,unknown,unknown,Drama Thriller,rapt,Lucas Belvaux (director); Yvan Attal unknown unknown Lucas Belvaux Drama Thriller
David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson,Fantasy Adventure,harry potter and the deathly hallows – part 2,Daniel Radcliffe Rupert Grint Emma Watson David Yates Fantasy Adventure
Michael Rapaport,Michael Rapaport (director); A Tribe Called Quest,unknown,unknown,Music Documentary,"beats, rhymes & life: the travels of a tribe called quest",Michael Rapaport (director); A Tribe Called Quest unknown unknown Michael Rapaport Music Documentary
James Marsh,James Marsh (director); Bob Angelini,Bern Cohen,Renne Falitz,Documentary,project nim,James Marsh (director); Bob Angelini Bern Cohen Renne Falitz James Marsh Documentary
Frank Coraci,Kevin James,Rosario Dawson,Leslie Bibb,Comedy Romance Family,zookeeper,Kevin James Rosario Dawson Leslie Bibb Frank Coraci Comedy Romance Family
Joe Johnston,Chris Evans,Tommy Lee Jones,Hugo Weaving,Action Adventure Science Fiction,captain america: the first avenger,Chris Evans Tommy Lee Jones Hugo Weaving Joe Johnston Action Adventure Science Fiction
Will Gluck,Justin Timberlake,Mila Kunis,Patricia Clarkson,Romance Comedy,friends with benefits,Justin Timberlake Mila Kunis Patricia Clarkson Will Gluck Romance Comedy
Jon Favreau,Daniel Craig,Harrison Ford,Olivia Wilde,Action Science Fiction Thriller Western,cowboys & aliens,Daniel Craig Harrison Ford Olivia Wilde Jon Favreau Action Science Fiction Thriller Western
Olivier Megaton,Zoe Saldana,Michael Vartan,Cliff Curtis,Action Thriller Crime Drama,colombiana,Zoe Saldana Michael Vartan Cliff Curtis Olivier Megaton Action Thriller Crime Drama
"John Requa, Glenn Ficarra",Steve Carell,Julianne Moore,Ryan Gosling,Comedy Drama Romance,"crazy, stupid, love.","Steve Carell Julianne Moore Ryan Gosling John Requa, Glenn Ficarra Comedy Drama Romance"
Steven Quale,Nicholas D'Agosto,Emma Bell,Miles Fisher,Horror Mystery,final destination 5,Nicholas D'Agosto Emma Bell Miles Fisher Steven Quale Horror Mystery
David Dobkin,Ryan Reynolds,Jason Bateman,Leslie Mann,Comedy,the change-up,Ryan Reynolds Jason Bateman Leslie Mann David Dobkin Comedy
Dan Povenmire (director/screenplay); Robert F. Hughes,Vincent Martella,Thomas Brodie-Sangster,Ashley Tisdale,Animation Comedy Family TV Movie Music Adventure Science Fiction,phineas and ferb the movie: across the 2nd dimension,Vincent Martella Thomas Brodie-Sangster Ashley Tisdale Dan Povenmire (director/screenplay); Robert F. Hughes Animation Comedy Family TV Movie Music Adventure Science Fiction
Rupert Wyatt,James Franco,Freida Pinto,John Lithgow,Thriller Action Drama Science Fiction,rise of the planet of the apes,James Franco Freida Pinto John Lithgow Rupert Wyatt Thriller Action Drama Science Fiction
Kevin Tancharoen,Kevin Tancharoen (director); Dianna Agron,Chris Colfer,Darren Criss,Music Documentary Family,glee: the 3d concert movie,Kevin Tancharoen (director); Dianna Agron Chris Colfer Darren Criss Kevin Tancharoen Music Documentary Family
Philippe Falardeau,Mohamed Fellag,Sophie Nélisse,Emilien Neron,Drama Comedy,monsieur lazhar,Mohamed Fellag Sophie Nélisse Emilien Neron Philippe Falardeau Drama Comedy
Lone Scherfig,Anne Hathaway,Jim Sturgess,Patricia Clarkson,Drama Romance,one day,Anne Hathaway Jim Sturgess Patricia Clarkson Lone Scherfig Drama Romance
Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Drama,the help,Emma Stone Viola Davis Octavia Spencer Tate Taylor Drama
Marcus Nispel,Jason Momoa,Rachel Nichols,Stephen Lang,Adventure Fantasy Action,conan the barbarian,Jason Momoa Rachel Nichols Stephen Lang Marcus Nispel Adventure Fantasy Action
Ruben Fleischer,Jesse Eisenberg,Aziz Ansari,Danny McBride,Action Adventure Comedy,30 minutes or less,Jesse Eisenberg Aziz Ansari Danny McBride Ruben Fleischer Action Adventure Comedy
Craig Gillespie,Anton Yelchin,Colin Farrell,Christopher Mintz-Plasse,Horror Comedy,fright night,Anton Yelchin Colin Farrell Christopher Mintz-Plasse Craig Gillespie Horror Comedy
Ben Palmer,Simon Bird,James Buckley,Blake Harrison,Comedy,the inbetweeners movie,Simon Bird James Buckley Blake Harrison Ben Palmer Comedy
Robert Rodriguez,Jessica Alba,Joel McHale,Alexa Vega,Family Comedy Action,spy kids: all the time in the world,Jessica Alba Joel McHale Alexa Vega Robert Rodriguez Family Comedy Action
John Singleton,Taylor Lautner,Lily Collins,Alfred Molina,Thriller Action Mystery,abduction,Taylor Lautner Lily Collins Alfred Molina John Singleton Thriller Action Mystery
Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Nikolaj Coster-Waldau,Documentary,headhunters,Aksel Hennie Synnøve Macody Lund Nikolaj Coster-Waldau Morten Tyldum Documentary
George Clooney,Ryan Gosling,George Clooney,Philip Seymour Hoffman,Drama,the ides of march,Ryan Gosling George Clooney Philip Seymour Hoffman George Clooney Drama
Roman Polanski,John C. Reilly,Jodie Foster,Christoph Waltz,Action Science Fiction,carnage,John C. Reilly Jodie Foster Christoph Waltz Roman Polanski Action Science Fiction
Paul W. S. Anderson,Matthew Macfadyen,Logan Lerman,Ray Stevenson,Animation Family,the three musketeers,Matthew Macfadyen Logan Lerman Ray Stevenson Paul W. S. Anderson Animation Family
Madonna,Abbie Cornish,Oscar Isaac,James D'Arcy,Drama Romance,w.e.,Abbie Cornish Oscar Isaac James D'Arcy Madonna Drama Romance
Rodrigo García,Glenn Close,Mia Wasikowska,Aaron Johnson,Drama,albert nobbs,Glenn Close Mia Wasikowska Aaron Johnson Rodrigo García Drama
Gonzalo López-Gallego,Gonzalo López-Gallego (director); Brian Miller (screenplay),unknown,unknown,Horror Thriller Science Fiction,apollo 18,Gonzalo López-Gallego (director); Brian Miller (screenplay) unknown unknown Gonzalo López-Gallego Horror Thriller Science Fiction
David Cronenberg,Keira Knightley,Viggo Mortensen,Michael Fassbender,Drama Thriller,a dangerous method,Keira Knightley Viggo Mortensen Michael Fassbender David Cronenberg Drama Thriller
Matt Russell,Lucas Black,Robert Duvall,Melissa Leo,Drama,seven days in utopia,Lucas Black Robert Duvall Melissa Leo Matt Russell Drama
David R. Ellis,Sara Paxton,Dustin Milligan,Chris Carmack,Thriller Horror,shark night,Sara Paxton Dustin Milligan Chris Carmack David R. Ellis Thriller Horror
Steven Soderbergh,Marion Cotillard,Matt Damon,Laurence Fishburne,Drama Thriller Science Fiction,contagion,Marion Cotillard Matt Damon Laurence Fishburne Steven Soderbergh Drama Thriller Science Fiction
Steve McQueen,Michael Fassbender,Carey Mulligan,unknown,Drama,shame,Michael Fassbender Carey Mulligan unknown Steve McQueen Drama
Tomas Alfredson,Gary Oldman,Colin Firth,Tom Hardy,Drama Thriller Mystery,tinker tailor soldier spy,Gary Oldman Colin Firth Tom Hardy Tomas Alfredson Drama Thriller Mystery
Roland Emmerich,Rhys Ifans,Vanessa Redgrave,Joely Richardson,Action Thriller Crime Mystery,anonymous,Rhys Ifans Vanessa Redgrave Joely Richardson Roland Emmerich Action Thriller Crime Mystery
Bess Kargman,Bess Kargman (director),unknown,unknown,Comedy Documentary Drama,first position,Bess Kargman (director) unknown unknown Bess Kargman Comedy Documentary Drama
Shawn Levy,Hugh Jackman,Kevin Durand,Evangeline Lilly,Action Science Fiction Drama,real steel,Hugh Jackman Kevin Durand Evangeline Lilly Shawn Levy Action Science Fiction Drama
"Mathieu Roy, Harold Crooks",Mathieu Roy,Harold Crooks (director/screenplay),unknown,Documentary,surviving progress,"Mathieu Roy Harold Crooks (director/screenplay) unknown Mathieu Roy, Harold Crooks Documentary"
Sarah Polley,Seth Rogen,Michelle Williams,Sarah Silverman,Drama Comedy,take this waltz,Seth Rogen Michelle Williams Sarah Silverman Sarah Polley Drama Comedy
Pawel Pawlikowski,Ethan Hawke,Kristin Scott Thomas,unknown,Thriller,the woman in the fifth,Ethan Hawke Kristin Scott Thomas unknown Pawel Pawlikowski Thriller
Lynn Shelton,Emily Blunt,Rosemarie DeWitt,Mark Duplass,Comedy,your sister's sister,Emily Blunt Rosemarie DeWitt Mark Duplass Lynn Shelton Comedy
William Friedkin,Matthew McConaughey,Emile Hirsch,Juno Temple,Crime Thriller Drama,killer joe,Matthew McConaughey Emile Hirsch Juno Temple William Friedkin Crime Thriller Drama
Gareth Evans,Iko Uwais,Doni Alamsyah,Joe Taslim,Action Thriller Crime,the raid: redemption,Iko Uwais Doni Alamsyah Joe Taslim Gareth Evans Action Thriller Crime
Tom Brady,Nick Swardson,Christina Ricci,Stephen Dorff,Comedy,bucky larson: born to be a star,Nick Swardson Christina Ricci Stephen Dorff Tom Brady Comedy
Jennifer Westfeldt,Adam Scott,Jennifer Westfeldt,Jon Hamm,Comedy Romance,friends with kids,Adam Scott Jennifer Westfeldt Jon Hamm Jennifer Westfeldt Comedy Romance
Bennett Miller,Brad Pitt,Jonah Hill,Robin Wright Penn,Drama,moneyball,Brad Pitt Jonah Hill Robin Wright Penn Bennett Miller Drama
Gavin O'Connor,Joel Edgerton,Tom Hardy,Jennifer Morrison,Drama Action,warrior,Joel Edgerton Tom Hardy Jennifer Morrison Gavin O'Connor Drama Action
Morgan Spurlock,Skip Harvey,Eric Henson,Chuck Rozanski,Documentary,comic-con episode iv: a fan's hope,Skip Harvey Eric Henson Chuck Rozanski Morgan Spurlock Documentary
Whit Stillman,Greta Gerwig,Adam Brody,Analeigh Tipton,Comedy Drama Romance,damsels in distress,Greta Gerwig Adam Brody Analeigh Tipton Whit Stillman Comedy Drama Romance
Alexander Payne,George Clooney,Shailene Woodley,Beau Bridges,Comedy Drama,the descendants,George Clooney Shailene Woodley Beau Bridges Alexander Payne Comedy Drama
Michael Dowse,Michael Dowse (director); Jay Baruchel,Evan Goldberg (screenplay);Seann William Scott,Jay Baruchel,Comedy,goon,Michael Dowse (director); Jay Baruchel Evan Goldberg (screenplay);Seann William Scott Jay Baruchel Michael Dowse Comedy
Gary McKendry,Clive Owen,Jason Statham,Robert De Niro,Action Adventure Thriller,killer elite,Clive Owen Jason Statham Robert De Niro Gary McKendry Action Adventure Thriller
Julian Farino,Hugh Laurie,Leighton Meester,Catherine Keener,Comedy Romance Drama,the oranges,Hugh Laurie Leighton Meester Catherine Keener Julian Farino Comedy Romance Drama
Oren Moverman,Woody Harrelson,Ben Foster,Robin Wright,Crime Drama,rampart,Woody Harrelson Ben Foster Robin Wright Oren Moverman Crime Drama
Lasse Hallström,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Drama Romance Comedy,salmon fishing in the yemen,Ewan McGregor Emily Blunt Kristin Scott Thomas Lasse Hallström Drama Romance Comedy
Emilio Estevez,Martin Sheen,Deborah Kara Unger,James Nesbitt,Drama Adventure History,the way,Martin Sheen Deborah Kara Unger James Nesbitt Emilio Estevez Drama Adventure History
Adam Wingard,Sharni Vinson,Joe Swanberg,A. J. Bowen,Horror Thriller Mystery,you're next,Sharni Vinson Joe Swanberg A. J. Bowen Adam Wingard Horror Thriller Mystery
Fernando Meirelles,Rachel Weisz,Anthony Hopkins,Jude Law,Drama Romance,360,Rachel Weisz Anthony Hopkins Jude Law Fernando Meirelles Drama Romance
Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Comedy Drama,50/50,Joseph Gordon-Levitt Seth Rogen Anna Kendrick Jonathan Levine Comedy Drama
Jose Henrique Fonseca,Rodrigo Santoro,unknown,unknown,Drama History,heleno,Rodrigo Santoro unknown unknown Jose Henrique Fonseca Drama History
Jonathan Demme,Jonathan Demme (director); Neil Young,unknown,unknown,Music Documentary,neil young journeys,Jonathan Demme (director); Neil Young unknown unknown Jonathan Demme Music Documentary
"Mark Duplass, Jay Duplass",Jason Segel,Ed Helms,Judy Greer,Drama Comedy,"jeff, who lives at home","Jason Segel Ed Helms Judy Greer Mark Duplass, Jay Duplass Drama Comedy"
Oliver Parker,Rowan Atkinson,Daniel Kaluuya,Rosamund Pike,Crime Adventure Action Comedy Thriller,johnny english reborn,Rowan Atkinson Daniel Kaluuya Rosamund Pike Oliver Parker Crime Adventure Action Comedy Thriller
Nancy Savoca,Mira Sorvino,Tammy Blanchard,Patti LuPone,Drama,union square,Mira Sorvino Tammy Blanchard Patti LuPone Nancy Savoca Drama
Geoffrey S. Fletcher,Saoirse Ronan,Alexis Bledel,Danny Trejo,Thriller Crime Drama Action Comedy,violet & daisy,Saoirse Ronan Alexis Bledel Danny Trejo Geoffrey S. Fletcher Thriller Crime Drama Action Comedy
Douglas McGrath,Sarah Jessica Parker,Pierce Brosnan,Greg Kinnear,Romance Comedy,i don't know how she does it,Sarah Jessica Parker Pierce Brosnan Greg Kinnear Douglas McGrath Romance Comedy
Rod Lurie,James Marsden,Kate Bosworth,Alexander Skarsgård,Crime Drama Thriller,straw dogs,James Marsden Kate Bosworth Alexander Skarsgård Rod Lurie Crime Drama Thriller
Darrell Roodt,Jennifer Hudson,Terrence Howard,Wendy Crewson,Drama,winnie mandela,Jennifer Hudson Terrence Howard Wendy Crewson Darrell Roodt Drama
Sloane U'Ren,Henry Lloyd-Hughes,Camilla Rutherford,Patrick Godfrey,Adventure Animation,dimensions,Henry Lloyd-Hughes Camilla Rutherford Patrick Godfrey Sloane U'Ren Adventure Animation
Tom Six,Laurence R. Harvey,Ashlynn Yennie,unknown,Drama Horror Crime,the human centipede 2 (full sequence),Laurence R. Harvey Ashlynn Yennie unknown Tom Six Drama Horror Crime
Charles Martin Smith,Harry Connick Jr.,Ashley Judd,Morgan Freeman,Drama Family,dolphin tale,Harry Connick Jr. Ashley Judd Morgan Freeman Charles Martin Smith Drama Family
Jim Sheridan,Daniel Craig,Rachel Weisz,Naomi Watts,Drama Thriller Mystery,dream house,Daniel Craig Rachel Weisz Naomi Watts Jim Sheridan Drama Thriller Mystery
Kenneth Lonergan,Anna Paquin,J. Smith-Cameron,Matt Damon,Drama,margaret,Anna Paquin J. Smith-Cameron Matt Damon Kenneth Lonergan Drama
Mark Mylod,Anna Faris,Chris Evans,unknown,Comedy Romance,what's your number?,Anna Faris Chris Evans unknown Mark Mylod Comedy Romance
Alex Kendrick,Alex Kendrick,Kevin Downes,Ken Bevel,Drama,courageous,Alex Kendrick Kevin Downes Ken Bevel Alex Kendrick Drama
Martin Scorsese,Martin Scorsese (director); Olivia Harrison,unknown,unknown,Music Documentary,george harrison: living in the material world,Martin Scorsese (director); Olivia Harrison unknown unknown Martin Scorsese Music Documentary
Mads Brügger,Mads Brügger (director),unknown,unknown,Documentary,the ambassador,Mads Brügger (director) unknown unknown Mads Brügger Documentary
Craig Brewer,Kenny Wormald,Julianne Hough,Andie MacDowell,Drama Romance,footloose,Kenny Wormald Julianne Hough Andie MacDowell Craig Brewer Drama Romance
Simon Curtis,Michelle Williams,Kenneth Branagh,Eddie Redmayne,Drama Romance,my week with marilyn,Michelle Williams Kenneth Branagh Eddie Redmayne Simon Curtis Drama Romance
Martin Scorsese,Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Adventure Drama Family,hugo,Ben Kingsley Sacha Baron Cohen Asa Butterfield Martin Scorsese Adventure Drama Family
Matthijs van Heijningen,Mary Elizabeth Winstead,Adewale Akinnuoye-Agbaje,Joel Edgerton,Horror Mystery Science Fiction,the thing,Mary Elizabeth Winstead Adewale Akinnuoye-Agbaje Joel Edgerton Matthijs van Heijningen Horror Mystery Science Fiction
Bruce Robinson,Johnny Depp,Amber Heard,Aaron Eckhart,Comedy Drama,the rum diary,Johnny Depp Amber Heard Aaron Eckhart Bruce Robinson Comedy Drama
David Frankel,Jack Black,Steve Martin,Owen Wilson,Comedy,the big year,Jack Black Steve Martin Owen Wilson David Frankel Comedy
"Henry Joost, Ariel Schulman",Lauren Bittner,Chris Smith,Chloe Csengery,Horror Mystery,paranormal activity 3,"Lauren Bittner Chris Smith Chloe Csengery Henry Joost, Ariel Schulman Horror Mystery"
"Lisa Immordino Vreeland, Bent-Jorgan Perlmutt, Frederic Tcheng",Lisa Immordino Vreeland,Bent-Jorgan Perlmutt,Frederic Tcheng (directors),Documentary,diana vreeland: the eye has to travel,"Lisa Immordino Vreeland Bent-Jorgan Perlmutt Frederic Tcheng (directors) Lisa Immordino Vreeland, Bent-Jorgan Perlmutt, Frederic Tcheng Documentary"
Sean Durkin,Elizabeth Olsen,John Hawkes,Sarah Paulson,Drama Thriller,martha marcy may marlene,Elizabeth Olsen John Hawkes Sarah Paulson Sean Durkin Drama Thriller
Martin Guigui,Dennis Quaid,Tony Oller,Aimee Teegarden,Thriller,beneath the darkness,Dennis Quaid Tony Oller Aimee Teegarden Martin Guigui Thriller
Steven Spielberg,Jamie Bell,Andy Serkis,Daniel Craig,Adventure Animation Mystery,the adventures of tintin,Jamie Bell Andy Serkis Daniel Craig Steven Spielberg Adventure Animation Mystery
Chris Miller,Antonio Banderas,Salma Hayek,Zach Galifianakis,Action Adventure Animation Family Fantasy Comedy,puss in boots,Antonio Banderas Salma Hayek Zach Galifianakis Chris Miller Action Adventure Animation Family Fantasy Comedy
Brett Ratner,Ben Stiller,Eddie Murphy,Casey Affleck,Action Comedy,tower heist,Ben Stiller Eddie Murphy Casey Affleck Brett Ratner Action Comedy
Andrew Niccol,Justin Timberlake,Amanda Seyfried,Cillian Murphy,Action Thriller Science Fiction,in time,Justin Timberlake Amanda Seyfried Cillian Murphy Andrew Niccol Action Thriller Science Fiction
Andrew Erwin and Jon Erwin,Rachel Hendrix,Jason Burkey,John Schneider,Drama,october baby,Rachel Hendrix Jason Burkey John Schneider Andrew Erwin and Jon Erwin Drama
Bill Condon,Kristen Stewart,Robert Pattinson,Taylor Lautner,Adventure Fantasy Romance,the twilight saga: breaking dawn – part 1,Kristen Stewart Robert Pattinson Taylor Lautner Bill Condon Adventure Fantasy Romance
Olivier Nakache & Éric Toledano,Olivier Nakache & Éric Toledano (director); François Cluzet,Omar Sy,unknown,Drama Comedy,the intouchables,Olivier Nakache & Éric Toledano (director); François Cluzet Omar Sy unknown Olivier Nakache & Éric Toledano Drama Comedy
Clint Eastwood,Leonardo DiCaprio,Armie Hammer,Naomi Watts,Drama Crime History,j. edgar,Leonardo DiCaprio Armie Hammer Naomi Watts Clint Eastwood Drama Crime History
James Bobin,Jason Segel,Amy Adams,Chris Cooper,Family Comedy Music,the muppets,Jason Segel Amy Adams Chris Cooper James Bobin Family Comedy Music
Todd Strauss-Schulson,John Cho,Kal Penn,Neil Patrick Harris,Comedy,a very harold & kumar 3d christmas,John Cho Kal Penn Neil Patrick Harris Todd Strauss-Schulson Comedy
Steven Soderbergh,Gina Carano,Channing Tatum,Michael Angarano,Action Drama Thriller,haywire,Gina Carano Channing Tatum Michael Angarano Steven Soderbergh Action Drama Thriller
Sarah Smith (director/screenplay); Barry Cook,James McAvoy,Hugh Laurie,Bill Nighy,Drama Animation Family Comedy,arthur christmas,James McAvoy Hugh Laurie Bill Nighy Sarah Smith (director/screenplay); Barry Cook Drama Animation Family Comedy
Tarsem Singh,Henry Cavill,Stephen Dorff,Luke Evans,Fantasy Action Drama,immortals,Henry Cavill Stephen Dorff Luke Evans Tarsem Singh Fantasy Action Drama
Dennis Dugan,Adam Sandler,Katie Holmes,Al Pacino,Comedy,jack and jill,Adam Sandler Katie Holmes Al Pacino Dennis Dugan Comedy
George Miller,Elijah Wood,Robin Williams,Hank Azaria,Animation Comedy Family,happy feet two,Elijah Wood Robin Williams Hank Azaria George Miller Animation Comedy Family
John Madden,Judi Dench,Bill Nighy,Penelope Wilton,Drama Comedy,the best exotic marigold hotel,Judi Dench Bill Nighy Penelope Wilton John Madden Drama Comedy
Brad Bird,Tom Cruise,Jeremy Renner,Simon Pegg,Action Thriller Adventure,mission: impossible – ghost protocol,Tom Cruise Jeremy Renner Simon Pegg Brad Bird Action Thriller Adventure
Garry Marshall,Halle Berry,Jessica Biel,Jon Bon Jovi,Comedy Romance,new year's eve,Halle Berry Jessica Biel Jon Bon Jovi Garry Marshall Comedy Romance
David Gordon Green,Jonah Hill,Sam Rockwell,Ari Graynor,Comedy,the sitter,Jonah Hill Sam Rockwell Ari Graynor David Gordon Green Comedy
Jason Reitman,Charlize Theron,Patrick Wilson,Patton Oswalt,Comedy Drama,young adult,Charlize Theron Patrick Wilson Patton Oswalt Jason Reitman Comedy Drama
Joe Carnahan,Liam Neeson,Frank Grillo,Dermot Mulroney,Drama Thriller Action Adventure,the grey,Liam Neeson Frank Grillo Dermot Mulroney Joe Carnahan Drama Thriller Action Adventure
David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Thriller Crime Mystery Drama,the girl with the dragon tattoo,Daniel Craig Rooney Mara Christopher Plummer David Fincher Thriller Crime Mystery Drama
Mike Mitchell,Jason Lee,David Cross,Jenny Slate,Comedy Fantasy Family Music Animation,alvin and the chipmunks: chipwrecked,Jason Lee David Cross Jenny Slate Mike Mitchell Comedy Fantasy Family Music Animation
Guy Ritchie,Robert Downey Jr.,Jude Law,Jared Harris,Adventure Action Crime Mystery,sherlock holmes: a game of shadows,Robert Downey Jr. Jude Law Jared Harris Guy Ritchie Adventure Action Crime Mystery
Chris Gorak,Emile Hirsch,Olivia Thirlby,Rachael Taylor,Horror Action Thriller Science Fiction,the darkest hour,Emile Hirsch Olivia Thirlby Rachael Taylor Chris Gorak Horror Action Thriller Science Fiction
Angelina Jolie,Zana Marjanović,Goran Kostić,Rade Šerbedžija,Drama Romance War,in the land of blood and honey,Zana Marjanović Goran Kostić Rade Šerbedžija Angelina Jolie Drama Romance War
Cameron Crowe,Matt Damon,Thomas Haden Church,Scarlett Johansson,Drama Comedy Family,we bought a zoo,Matt Damon Thomas Haden Church Scarlett Johansson Cameron Crowe Drama Comedy Family
Stephen Daldry,Tom Hanks,Sandra Bullock,Thomas Horn,Drama,extremely loud and incredibly close,Tom Hanks Sandra Bullock Thomas Horn Stephen Daldry Drama
Steven Spielberg,Jeremy Irvine,Emily Watson,David Thewlis,Drama War Action,war horse,Jeremy Irvine Emily Watson David Thewlis Steven Spielberg Drama War Action
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Anthony Stewart Head,History Drama,the iron lady,Meryl Streep Jim Broadbent Anthony Stewart Head Phyllida Lloyd History Drama
William Brent Bell,Suzan Crowley,Fernanda Andrade,Simon Quarterman,Thriller Horror,the devil inside,Suzan Crowley Fernanda Andrade Simon Quarterman William Brent Bell Thriller Horror
Martin Guigui,Dennis Quaid,Tony Oller,Aimee Teegarden,Thriller,beneath the darkness,Dennis Quaid Tony Oller Aimee Teegarden Martin Guigui Thriller
Tran Anh Hung,Kenichi Matsuyama,Rinko Kikuchi,Kiko Mizuhara,Drama Romance,norwegian wood,Kenichi Matsuyama Rinko Kikuchi Kiko Mizuhara Tran Anh Hung Drama Romance
Baltasar Kormákur,Mark Wahlberg,Caleb Landry Jones,Giovanni Ribisi,Thriller Action Drama Crime,contraband,Mark Wahlberg Caleb Landry Jones Giovanni Ribisi Baltasar Kormákur Thriller Action Drama Crime
Todd Graff,Queen Latifah,Dolly Parton,Kris Kristofferson,Comedy Music,joyful noise,Queen Latifah Dolly Parton Kris Kristofferson Todd Graff Comedy Music
Niall MacCormick,Jessica Brown Findlay,Sebastian Koch,Julia Ormond,Drama,albatross,Jessica Brown Findlay Sebastian Koch Julia Ormond Niall MacCormick Drama
Xavier Gens,Lauren German,Michael Biehn,Milo Ventimiglia,Horror Science Fiction,the divide,Lauren German Michael Biehn Milo Ventimiglia Xavier Gens Horror Science Fiction
Vincent D'Onofrio,Vincent D'Onofrio (director); Sam Bisbee,Joe Vinciguerra (screenplays),unknown,Horror,don't go in the woods,Vincent D'Onofrio (director); Sam Bisbee Joe Vinciguerra (screenplays) unknown Vincent D'Onofrio Horror
Susanne Rostock,Susanne Rostock (director); Harry Belafonte,unknown,unknown,Documentary,sing your song,Susanne Rostock (director); Harry Belafonte unknown unknown Susanne Rostock Documentary
Steven Soderbergh,Gina Carano,Channing Tatum,Michael Angarano,Action Drama Thriller,haywire,Gina Carano Channing Tatum Michael Angarano Steven Soderbergh Action Drama Thriller
